rawcode,shop,name_ru,name_en,category,element,rank,goldcost,STR,AGI,INT,AllStat,DMG,DEF,MS,AS,MaxHP,MaxMP,HP_regen,MP_regen,Lifesteal,Crit,Evasion,active_CD,active_mana,abilities_resolved,description_ru,description_en,crafted_from,crafts_into
I03C,Ultimate Sets (n00B),Жилет Анбу,ANBU Vest,,,,1200,,,,,,,,,600,,,,,,,,,+600 Max HP (A1S9),"Повышение запаса HP на 500 ед., каждая физическая атака по владельцу будет восстанавливать 35 ед. HP, эффект не суммируется.","Increases Max HP by 600, each physical attack against the owner restores 35 HP, effect does not stack. | Note: the Russian in-game tooltip still says 500, while the ability (A1S9) grants 600.",,ANBU Set (I03F)
I03D,Ultimate Sets (n00B),Маска Анбу,ANBU Mask,,,,1200,10,15,,,,,,,,500,,,,,,,,+500 Max MP (A186); +10 STR (A03P); +15 AGI (A04C),"Повышение запаса MP на 500 ед., повышение AGI на 15 ед. STR на 10 ед.","Increases Max MP by 500, AGI by 15, STR by 10.",,ANBU Set (I03F)
I03B,Ultimate Sets (n00B),Меч Анбу,ANBU Sword,,,,1500,,,,,,,,30,,,,,,,,,,+30% AS (A05B),"Повышение AS на 30%, каждая атака дополнительно наносит 55 ед. чистого урона, пробивающий резисты, но не щиты, эффект не суммируется.","Increases AS by 30%, each attack additionally deals 55 pure damage (pierces resists but not shields), effect does not stack.",,"ANBU Set (I03F) , Gegetsuburi [Weapon] (I050) , Death Scythe [Weapon] (ISDi)"
I03F,Ultimate Items 2 (n00A),Комплект Анбу,ANBU Set,,,,4900,10,45,,,,10,,,500,500,,,,,50,,,"+10 DEF (AI37); +500 Max MP (A186); +10 STR, +45 AGI (A0TR); Spellbook: [+500 Max HP (A0S9); 50% Evasion (JASS) (A0TP)] (Ao8Q)","Дает шанс 35% уклониться от удара, каждая физическая атака по вам будет восстанавливать вам 50 ед. HP, повышение запаса MP и HP на 500 ед., повышение AGI на 35 ед., STR на 10 ед. |  • Техника Замещения Тела - при получении смертельного урона ваш персонаж использует технику замены и восстанавливает 15% HP. Стоимость: 25% MP.(не снимает эффекты Юкирин,Эссенции) Перезарядка: 50 сек. | При активации: увеличивает скорость бега до максимума на 4 сек и невидимость на 2 сек. |  | CD: 25 сек.","35% dodge chance, each physical attack against you restores 50 HP, +500 Max MP and HP, +35 AGI, +10 STR. | Body Replacement Technique - on lethal damage the hero uses replacement and restores 15% HP. Cost: 25% MP (does not remove Yukirin/Essence effects). Cooldown: 50 sec. | On activation: MS to maximum for 4 sec and invisibility for 2 sec. | CD: 25 sec.",ANBU Mask (I03D) + ANBU Shoes (I03E) + ANBU Sword (I03B) + ANBU Vest (I03C),
I120,Recipes 4 (n108),Башосен (рецепт),Bashosen (Recipe),,,,250,,,,,,,,,,,,,,,,,,,"Повышение INT на 60 ед., увеличение запаса MP на 1000 ед, увеличение запаса HP на 500 ед. |  | Active: ""Взмах веером"" - создает воздушную волну, которая наносит 5*INT+(с 35 уровня:+ 10% от MAX MP) урон и отталкивает противников и замедляет на 60% в течении 3 сек. |  | Перезарядка: 25 сек. |  | Требуется: Настоящее Кольцо Тумана Вонголы(4750)+Рецепт(250).","Increases INT by 60, Max MP by 1000, Max HP by 500. | Active: ""Fan Swing"" - creates an air wave dealing 5*INT + (from level 35: +10% of Max MP) damage and knocking back enemies, slowing by 60% for 3 sec. | Cooldown: 25 sec. | Requires: True Vongola Mist Ring (4750) + Recipe (250).",,Bashosen (I037)
I00F,Half Vongola Rings (n003),"Кольцо Тумана, Ранг D","Mist Ring, Rank D",Vongola Ring,Mist,D,1000,5,,10,,,,,,,,,,,,,,,+10 INT (A042); +5 STR (A041),Повышение INT на 10 ед. и STR на 5 ед.,Increases INT by 10 and STR by 5.,,"Mist Ring, Rank C (I00G)"
I00G,,"Кольцо Тумана, Ранг С","Mist Ring, Rank C",Vongola Ring,Mist,C,1750,10,,15,,,,,,,,,,,,,,,+15 INT (A043); +10 STR (A03P),Повышение INT на 15 ед. и STR на 10 ед.,Increases INT by 15 and STR by 10.,"Mist Ring, Rank D (I00F) + Upgrade Item (I00E)","Mist Ring, Rank B (I00H)"
I00H,,"Кольцо Тумана, Ранг B","Mist Ring, Rank B",Vongola Ring,Mist,B,2500,15,,20,,,,,,,,,,,,,,,+20 INT (A044); +15 STR (A03R),Повышение INT на 20 ед. и STR на 15 ед.,Increases INT by 20 and STR by 15.,"Mist Ring, Rank C (I00G) + Upgrade Item (I00E)","Mist Ring, Rank A (I00I)"
I00I,,"Кольцо Тумана, Ранг A","Mist Ring, Rank A",Vongola Ring,Mist,A,3250,20,,25,,,,,,,,,,,,,,,+25 INT (A045); +20 STR (A03T),Повышение INT на 25 ед. и STR на 20 ед.,Increases INT by 25 and STR by 20.,"Mist Ring, Rank B (I00H) + Upgrade Item (I00E)",Vongola Mist Ring (I00J)
I00J,,Кольцо Тумана Вонголы,Vongola Mist Ring,Vongola Ring,Mist,S,4000,25,,30,,,,,,,,,,,,,,,+30 INT (A046); +25 STR (A03W),Повышение INT на 30 ед. и STR на 25 ед.,Increases INT by 30 and STR by 25.,"Mist Ring, Rank A (I00I) + Upgrade Item (I00E)",True Vongola Mist Ring (I00K)
I00K,Hight-level Vongola Rings and Done items (n00C),Настоящее Кольцо Тумана Вонголы,True Vongola Mist Ring,Vongola Ring,Mist,Full,4750,30,,45,,,,,,,,,,,,,30,50,Active: AoE Stun CD=30s mana=50 (A049); +45 INT (A0QV); +30 STR (A03X),"Повышение INT на 45 ед. и STR на 30 ед. |  | Active: ""Иллюзионный мир"" - делает вас невидимым на 10 сек., также пока на вас висит баф, вы получаете на 40% меньше урона. |  | CD: 30 сек.","Increases INT by 45 and STR by 30. | Active: ""Illusionary World"" - makes you invisible for 10 sec, also while the buff is active you take 40% less damage. | CD: 30 sec.",Vongola Mist Ring (I00J) + Upgrade Item (I00E),Bashosen (I037)
I037,Ultimate Items 2 (n00A),Башосен,Bashosen,,,,5000,,,60,,,,,,500,1000,,,,,,25,250,Active CD=25s mana=250 (A0OJ); Spellbook: [+1000 Max MP (A0ON); +60 INT (A0OH); Slow Aura (A13Q); +500 Max HP (A0S9)] (AI38),"Повышение INT на 60 ед., увеличение запаса MP на 1000 ед, увеличение запаса HP на 500 ед. |  | Active: ""Взмах веером"" - создает воздушную волну, которая наносит 5*INT+(с 35 уровня:+ 10% от MAX MP) урон и отталкивает противников и замедляет на 60% в течении 3 сек. |  | Перезарядка: 25 сек.","Increases INT by 60, Max MP by 1000, Max HP by 500. | Active: ""Fan Swing"" - creates an air wave dealing 5*INT + (from level 35: +10% of Max MP) damage and knocking back enemies, slowing by 60% for 3 sec. | Cooldown: 25 sec.",True Vongola Mist Ring (I00K) + Bashosen (Recipe) (I120),
I119,Recipes 4 (n108),Гунгнир (рецепт),Gungnir (Recipe),,,,250,,,,,,,,,,,,,,,,,,,"Повышение STR на 50 ед,MP: +500. |  | ""Бросок"" -  бросок копья, наносящего 5*STR чистого, неблокируемого урона. | Дальность: 900. | CD: 30 сек. |  | Требуется: Настоящее Кольцо Солнца Вонголы(4750)+Рецепт(250).","Increases STR by 50, MP +500. | ""Throw"" - throws a spear dealing 5*STR pure unblockable damage. | Range: 900. | CD: 30 sec. | Requires: True Vongola Sun Ring (4750) + Recipe (250).",,Gungnir (I048)
I007,Half Vongola Rings (n003),"Кольцо Солнца, Ранг D","Sun Ring, Rank D",Vongola Ring,Sun,D,1000,10,,,,,,,,,,10,,,,,,,+10 STR (A03P); +10 HP/s regen (A03S),Повышение STR на 10 ед. и HP Regen на 10 ед.,Increases STR by 10 and HP Regen by 10.,,"Sun Ring, Rank C (I009)"
I009,,"Кольцо Солнца, Ранг С","Sun Ring, Rank C",Vongola Ring,Sun,C,1750,15,,,,,,,,,,15,,,,,,,+15 STR (A03R); +15 HP/s regen (A03U),Повышение STR на 15 ед. и HP Regen на 15 ед.,Increases STR by 15 and HP Regen by 15.,"Sun Ring, Rank D (I007) + Upgrade Item (I00E)","Sun Ring, Rank B (I00A)"
I00A,,"Кольцо Солнца, Ранг В","Sun Ring, Rank B",Vongola Ring,Sun,B,2500,20,,,,,,,,,,20,,,,,,,+20 STR (A03T); +20 HP/s regen (A03V),Повышение STR на 20 ед. и HP Regen на 20 ед.,Increases STR by 20 and HP Regen by 20.,"Sun Ring, Rank C (I009) + Upgrade Item (I00E)","Sun Ring, Rank A (I00B)"
I00B,,"Кольцо Солнца, Ранг А","Sun Ring, Rank A",Vongola Ring,Sun,A,3250,25,,,,,,,,,,25,,,,,,,+25 STR (A03W); +25 HP/s regen (A03Y),Повышение STR на 25 ед. и HP Regen на 25 ед.,Increases STR by 25 and HP Regen by 25.,"Sun Ring, Rank B (I00A) + Upgrade Item (I00E)",Vongola Sun Ring (I00C)
I00C,,Кольцо Солнца Вонголы,Vongola Sun Ring,Vongola Ring,Sun,S,4000,30,,,,,,,,,,35,,,,,,,+30 STR (A03X); +35 HP/s regen (A0ET),Повышение STR на 30 ед. и HP Regen на 35 ед.,Increases STR by 30 and HP Regen by 35.,"Sun Ring, Rank A (I00B) + Upgrade Item (I00E)",True Vongola Sun Ring (I00D)
I00D,Hight-level Vongola Rings and Done items (n00C),Настоящее Кольцо Солнца Вонголы,True Vongola Sun Ring,Vongola Ring,Sun,Full,4750,35,,,,,,,,,,35,,,,,30,50,Active: AoE Stun CD=30s mana=50 (A048); +35 STR (A14M); +35 HP/s regen (A0ET),"Повышение STR на 35 ед., HP Regen на 35 ед. и эффективность восстановления HP на 15%.  |  | Способность: ""Экстремальное восстановление"" - Мгновенно восстанавливает 20% от Max HP героя.  |  | CD: 30 сек.","Increases STR by 35, HP Regen by 35 and HP recovery efficiency by 15%. | Ability: ""Extreme Recovery"" - instantly restores 20% of hero's Max HP. | CD: 30 sec.",Vongola Sun Ring (I00C) + Upgrade Item (I00E),Gungnir (I048)
I048,Ultimate Items 2 (n00A),Гунгнир,Gungnir,,,,5000,50,,,,,,,,,500,,,,,,30,350,Active CD=30s mana=350 (A0XX); +50 STR (A03Z); +500 Max MP (A186),"Повышение STR на 50 ед,MP: +500. |  | ""Бросок"" -  бросок копья, наносящего 5*STR чистого, неблокируемого урона. | Дальность: 900. | CD: 30 сек.","Increases STR by 50, MP +500. | ""Throw"" - throws a spear dealing 5*STR pure unblockable damage. | Range: 900. | CD: 30 sec.",True Vongola Sun Ring (I00D) + Gungnir (Recipe) (I119),
I052,Recipes 2 (n015),Посох Западного Ветра (рецепт),Staff of the West Wind (Recipe),,,,550,,,,,,,,,,,,,,,,,,,"Увеличивает AllStat на 30. Активная способность: ""Западный Ветер"" - подбрасывает себя или врага на 2.5 сек. в воздух, делая его неуязвимым и игнорирующий весь урон кроме неблокируемого.(сбивает T инори даже при наличии ImagineBreaker). |  | Перезарядка: 20 сек. |  | Требуется:Посох Тьмы Ранга A, Сфера Ветра, Рецепт.","Increases AllStat by 30. Active ability: ""West Wind"" - tosses self or enemy into the air for 2.5 sec, making them invulnerable and ignoring all damage except unblockable (cancels Inori T even with Imagine Breaker). | Cooldown: 20 sec. | Requires: Staff of Darkness Rank A, Wind Sphere, Recipe.",,Staff of the West Wind (I04G)
I04G,Ultimate Items 2 (n00A),Посох Западного Ветра,Staff of the West Wind,,,,5000,,,,30,,,,,,,,,,,,20,150,Active CD=20s mana=150 (A0WJ); +30 AllStat (A06P),"Увеличивает AllStat на 30. Активная способность: ""Западный Ветер"" - подбрасывает себя или врага на 2.5 сек. в воздух, делая его неуязвимым и игнорирующий весь урон кроме неблокируемого.(сбивает T инори даже при наличии ImagineBreaker). | Дальность: 1000 | Перезарядка: 20 сек.","Increases AllStat by 30. Active ability: ""West Wind"" - tosses self or enemy into the air for 2.5 sec, making them invulnerable and ignoring all damage except unblockable (cancels Inori T even with Imagine Breaker). | Range: 1000. | Cooldown: 20 sec.","Staff of Darkness, Rank A (I01Z) + Wind Sphere (I02T) + Staff of the West Wind (Recipe) (I052)",
I045,Recipes (n005),Печать Стихий (рецепт),Seal of Elements (Recipe),,,,300,,,,,,,,,,,,,,,,,,,"Повышение AllStat на 40 ед., регенерации на 40 ед., DEF на 10 ед. |  | Active: ""Испепеляющий луч"" |  | CD: 12 сек. |  | Требуется: Сфера Огня, Сфера Льда, Сфера Ветра,Рецепт.","Increases AllStat by 40, regen by 40, DEF by 10. | Active: ""Scorching Ray"" | CD: 12 sec. | Requires: Fire Sphere, Ice Sphere, Wind Sphere, Recipe.",,Seal of Elements (I044)
I044,Ultimate Items 2 (n00A),Печать Стихий,Seal of Elements,,,,6000,,,,40,,10,,,,,40,,,,,12,200,Active CD=12s mana=200 (A0WN); +40 AllStat (A0Z8); +40 HP/s regen (A0LH); +10 DEF (A19J),"Повышение AllStat на 40 ед., регенерации на 40 ед., DEF на 10 ед. |  | Active: ""Испепеляющий луч"" - создает преломление света в указанной области, через 1.7 сек. в эту точку ударяет солечный луч и наносит 4*AllStat. | Если луч не по кому не попал - перезарядка уменьшается на 4 сек. |  | CD: 12 сек.","Increases AllStat by 40, regen by 40, DEF by 10. | Active: ""Scorching Ray"" - creates a light refraction in targeted area, after 1.7 sec a sun ray strikes dealing 4*AllStat. | If the ray hits nobody, cooldown is reduced by 4 sec. | CD: 12 sec.",Ice Sphere (I02S) + Orb of Fire (I02R) + Wind Sphere (I02T) + Seal of Elements (Recipe) (I045),
I02Z,Recipes (n005),Перчатки льда (рецепт),Ice Gloves (Recipe),,,,0,,,,,,,,,,,,,,,,,,,"Повышение DEF +15 ед., AS +50%, INT +35 ед, STR +15. |  | Active: ""Щит льда"" - DEF +10 ед., уменьшение получаемого урона на 0.2*Main Stat, 10% входящего урона конвертируется в MP. Длится 7 сек. |  | Перезарядка: 25 сек. |  | Требуется: Стильный Пиджак, Сфера льда, Рецепт.","Increases DEF by 15, AS by 50%, INT by 35, STR by 15. | Active: ""Ice Shield"" - DEF +10, reduces incoming damage by 0.2*Main Stat, 10% of incoming damage converts to MP. Lasts 7 sec. | Cooldown: 25 sec. | Requires: Stylish Jacket, Ice Sphere, Recipe.",,Ice Gloves (I02Y)
IOS2,Ultimate Sets 2 (n00U),Стильный пиджак,Stylish Jacket,,,,1200,,,,,,,,,500,,5,,,,,,,+500 Max HP (A0S9); +5 HP/s regen (A03Q),"Повышение HP на 500, Regen HP на 5. |  |  • [Слишком стильный] - при получении урона больше 35 , 10% конвертируется в MP. CD: 10 секунд.","Increases HP by 500, HP Regen by 5. | [Too Stylish] - on receiving damage over 35, 10% converts to MP. CD: 10 sec.",,"Ice Gloves (I02Y) , Onizuka Set (I1S4)"
I02S,Ultimate Items (n00E),Сфера Льда,Ice Sphere,,,,2000,,,25,,,,,,200,,,,,,,30,50,Active: AoE Stun CD=30s mana=50 (A0HL); +200 Max HP (A0SE); +25 INT (A045); Aura: -7 HP regen to enemies (radius 900) (A0ST),"Увеличивает INT героя на 25 ед.,  HP на 200 ед., ""Аура Холода"" - понижение HP regen всех врагов в радиусе 900 на 7 ед. Способность: ""Восстановление"" - мгновенно восстанавливает 20% MP. |  | CD: 30 сек.","Increases hero INT by 25, HP by 200. ""Cold Aura"" - reduces HP regen of all enemies in radius 900 by 7. Ability: ""Recovery"" - instantly restores 20% MP. | CD: 30 sec.",,"Ice Gloves (I02Y) , Seal of Elements (I044) , Ice Essence (I04L) , Ice Essence (I04L) , Alastor (I03A) , Stigmata Tesseract (ISTi) , Blood Sphere (I043) , Ice Boots (I054)"
ISHk,Ultimate Items 2 (n00A),Sode no Shirayuki |r|c00FF5555Weapon|r,Sode no Shirayuki Weapon,,,,2900,,,,18,30,,,,500,,,,,,,,,+18 AllStat (A0VM); +500 Max HP (A0S9); +30 DMG (A36M),"Увеличение AllStat на 18, HP на 500, DMG на 30. |  | Пассивно: Каждое нанесение урона свыше 50 единиц увеличивает длительность эффектов контроля на 25% на 5 секунд.","Increases AllStat by 18, HP by 500, DMG by 30. | Passive: Each damage dealt over 50 increases CC duration by 25% for 5 sec.","Sword, Rank D (I01H) + Solid Argument (IOS3) + Ribbon (I12R)",Hakka no Togame Weapon (IHnK)
I02Y,Ultimate Items 2 (n00A),Перчатки льда,Ice Gloves,,,,3200,15,,35,,,15,,50,,,,,,,,25,100,"Active CD=25s mana=100 (A0YI); +15 STR, +35 INT (A1QV); +50% AS (A0LJ); +15 DEF (A05I)","DEF +15 ед., AS +50%, INT +35 ед, STR +15. | Active: ""Щит льда"" - DEF +10 ед., уменьшение получаемого урона на 0.2*Main Stat, 10% входящего урона конвертируется в MP. Длится 7 сек. | Перезарядка: 25 сек.","DEF +15, AS +50%, INT +35, STR +15. | Active: ""Ice Shield"" - DEF +10, reduces incoming damage by 0.2*Main Stat, 10% of incoming damage converts to MP. Lasts 7 sec. | Cooldown: 25 sec.",Stylish Jacket (IOS2) + Ice Sphere (I02S) + Ice Gloves (Recipe) (I02Z),Hakka no Togame Weapon (IHnK)
IHnK,Ultimate Items 2 (n00A),Hakka no Togame |r|c00FF5555Weapon|r,Hakka no Togame Weapon,,,,6100,,,,35,60,15,,50,,,,,,,,25,200,Active CD=25s mana=200 (A1YI); Spellbook: [+35 AllStat (A0LD); +50% AS (A0LJ); +15 DEF (A05I); +60 DMG (A05Z)] (A1UI),"Увеличение AllStat на 35, DEF на 15, AS на 50%, DMG на 60. |  | Passive: Each damage dealt over 50 units increases the duration of control effects by 25% for 5 seconds. |  | Active: ""Absolute Zero"" - DEF +10 units, reduction of damage received by 0.3*Main Stat, 10% of incoming damage is converted to MP. Lasts 7 seconds. | Deals 150+1.5*AllStat damage. damages all enemies around in 600 AoE, stun for 1 sec. | CD: 25 сек.","Increases AllStat by 35, DEF by 15, AS by 50%, DMG by 60. | Passive: Each damage dealt over 50 increases CC duration by 25% for 5 sec. | Active: ""Absolute Zero"" - DEF +10, reduces incoming damage by 0.3*Main Stat, 10% of incoming damage converts to MP. Lasts 7 sec. | Deals 150+1.5*AllStat damage to all enemies in 600 AoE, stun for 1 sec. | CD: 25 sec.",Ice Gloves (I02Y) + Sode no Shirayuki Weapon (ISHk),
I04Y,Recipes 2 (n015),Аластор (рецепт),Alastor (Recipe),,,,600,,,,,,,,,,,,,,,,,,,"Увеличение AllStat на 35, увеличение регенерации до 0.1*AllStat в сек., ""Огонь Аластора"" - нанесение 0.4*AllStat ед. урона в сек., всем врагам в радиусе 700. | Нельзя купить до получения 6-го уровня. | ""Огненный клон"" - создание огненного клона, который наносит 100% урона и получает 200% |  | CD: 20 сек. |  | Требуется: Сфера Огня, Сфера Льда, Сфера Ветра,Рецепт.","Increases AllStat by 35, regen up to 0.1*AllStat/sec. ""Alastor's Fire"" - deals 0.4*AllStat DPS to all enemies in radius 700. | Cannot buy until level 6. | ""Fire Clone"" - creates a fire clone dealing 100% damage and taking 200%. | CD: 20 sec. | Requires: Fire Sphere, Ice Sphere, Wind Sphere, Recipe.",,Alastor (I03A)
I03A,Ultimate Items 2 (n00A),Аластор,Alastor,,,,6300,,,,35,,,,,,,,,,,,20,75,Active CD=20s mana=75 (A0X2); +35 AllStat (A0LD),"Увеличение AllStat на 35, увеличение регенерации до 0.1*AllStat в сек., ""Огонь Аластора"" - нанесение 0.4*AllStat ед. урона в сек., всем врагам в радиусе 700. | Нельзя купить до получения 6-го уровня. | ""Огненный клон"" - создание огненного клона, который наносит 100% урона и получает 200%. |  | CD: 20 сек.","Increases AllStat by 35, regen up to 0.1*AllStat/sec. ""Alastor's Fire"" - deals 0.4*AllStat DPS to all enemies in radius 700. | Cannot buy until level 6. | ""Fire Clone"" - creates a fire clone dealing 100% damage and taking 200%. | CD: 20 sec.",Ice Sphere (I02S) + Orb of Fire (I02R) + Wind Sphere (I02T) + Alastor (Recipe) (I04Y),
I00L,Half Vongola Rings (n003),"Кольцо Облака, Ранг D","Cloud Ring, Rank D",Vongola Ring,Cloud,D,1000,5,10,,,,,,,,,,,,,,,,+10 AGI (A04B); +5 STR (A041),Повышение AGI на 10 ед. и STR на 5 ед.,Increases AGI by 10 and STR by 5.,,"Cloud Ring, Rank C (I00M)"
I00M,,"Кольцо Облака, Ранг С","Cloud Ring, Rank C",Vongola Ring,Cloud,C,1750,10,15,,,,,,,,,,,,,,,,+15 AGI (A04C); +10 STR (A03P),Повышение AGI на 15 ед. и STR на 10 ед.,Increases AGI by 15 and STR by 10.,"Cloud Ring, Rank D (I00L) + Upgrade Item (I00E)","Cloud Ring, Rank B (I00N)"
I00N,,"Кольцо Облака, Ранг B","Cloud Ring, Rank B",Vongola Ring,Cloud,B,2500,15,20,,,,,,,,,,,,,,,,+20 AGI (A04D); +15 STR (A03R),Повышение AGI на 20 ед. и STR на 15 ед.,Increases AGI by 20 and STR by 15.,"Cloud Ring, Rank C (I00M) + Upgrade Item (I00E)","Cloud Ring, Rank A (I00O)"
I00O,,"Кольцо Облака, Ранг A","Cloud Ring, Rank A",Vongola Ring,Cloud,A,3250,20,25,,,,,,,,,,,,,,,,+25 AGI (A04E); +20 STR (A03T),Повышение AGI на 25 ед. и STR на 20 ед.,Increases AGI by 25 and STR by 20.,"Cloud Ring, Rank B (I00N) + Upgrade Item (I00E)",Vongola Cloud Ring (I00P)
I00P,,Кольцо Облака Вонголы,Vongola Cloud Ring,Vongola Ring,Cloud,S,4000,25,30,,,,,,,,,,,,,,,,+30 AGI (A04F); +25 STR (A03W),Повышение AGI на 30 ед. и STR на 25 ед.,Increases AGI by 30 and STR by 25.,"Cloud Ring, Rank A (I00O) + Upgrade Item (I00E)",True Vongola Cloud Ring (I00Q)
I00Q,Hight-level Vongola Rings and Done items (n00C),Настоящее Кольцо Облака Вонголы,True Vongola Cloud Ring,Vongola Ring,Cloud,Full,4750,30,45,,,60,,,,,,,,,,,30,50,Active CD=30s mana=50 (A0WT); +45 AGI (A123); +30 STR (A03X); +60 DMG (A0YF),"Повышение AGI на 45 ед., STR на 30 ед. и AD на 60 ед. |  | Active: ""Независимость облака"" - атаки, в течении 5 сек, невозможно заблокировать. Не действует против магической защиты и промахов. Так же, на героях ближнего боя, каждая атака мгновенно вызывает еще одну, но не чаще раза в 1 сек, дополнительный урон +10% по врагам с щитами. |  | Перезарядка: 30 сек.","Increases AGI by 45, STR by 30 and AD by 60. | Active: ""Cloud Independence"" - attacks for 5 sec cannot be blocked. Does not affect magic defense and misses. Also, melee heroes get an additional attack every 1 sec, +10% bonus damage against shielded enemies. | Cooldown: 30 sec.",Vongola Cloud Ring (I00P) + Upgrade Item (I00E),
I00X,Half Vongola Rings (n003),"Кольцо Дождя, Ранг D","Rain Ring, Rank D",Vongola Ring,Rain,D,1000,,10,,,,,,10,,,,,,,,,,"Slow Aura: 10% MS slow, 10% AS slow (A051); +10% AS (A053); +10 AGI (A04B)","Повышение AGI на 10 ед. и AS на 10% , ""Аура дождя"" - замедление всех противников в радиусе 1000 на 10% и поглощение 10% любого входящего урона.","Increases AGI by 10 and AS by 10%. ""Rain Aura"" - slows all enemies in radius 1000 by 10% and absorbs 10% of all incoming damage.",,"Rain Ring, Rank C (I00Y)"
I00Y,,"Кольцо Дождя, Ранг С","Rain Ring, Rank C",Vongola Ring,Rain,C,1750,,15,,,,,,20,,,,,,,,,,"Slow Aura: 15% MS slow, 15% AS slow (A052); +20% AS (A057); +15 AGI (A04C)","Повышение AGI на 15 ед. и AS на 20% , ""Аура дождя"" - замедление всех противников в радиусе 1000 на 15% и поглощение 13% любого входящего урона.","Increases AGI by 15 and AS by 20%. ""Rain Aura"" - slows all enemies in radius 1000 by 15% and absorbs 13% of all incoming damage.","Rain Ring, Rank D (I00X) + Upgrade Item (I00E)","Rain Ring, Rank B (I00Z)"
I00Z,,"Кольцо Дождя, Ранг B","Rain Ring, Rank B",Vongola Ring,Rain,B,2500,,20,,,,,,30,,,,,,,,,,"Slow Aura: 20% MS slow, 20% AS slow (A055); +30% AS (A124); +20 AGI (A04D)","Повышение AGI на 20 ед. и AS на 30% , ""Аура дождя"" - замедление всех противников в радиусе 1000 на 20% и поглощение 16% любого входящего урона.","Increases AGI by 20 and AS by 30%. ""Rain Aura"" - slows all enemies in radius 1000 by 20% and absorbs 16% of all incoming damage.","Rain Ring, Rank C (I00Y) + Upgrade Item (I00E)","Rain Ring, Rank A (I010)"
I010,,"Кольцо Дождя, Ранг A","Rain Ring, Rank A",Vongola Ring,Rain,A,3250,,25,,,,,,40,,,,,,,,,,"Slow Aura: 25% MS slow, 25% AS slow (A056); +40% AS (A0Y4); +25 AGI (A04E)","Повышение AGI на 25 ед. и AS на 40% , ""Аура дождя"" - замедление всех противников в радиусе 1000 на 25% и поглощение 19% любого входящего урона.","Increases AGI by 25 and AS by 40%. ""Rain Aura"" - slows all enemies in radius 1000 by 25% and absorbs 19% of all incoming damage.","Rain Ring, Rank B (I00Z) + Upgrade Item (I00E)",Vongola Rain Ring (I011)
I011,,Кольцо Дождя Вонголы,Vongola Rain Ring,Vongola Ring,Rain,S,4000,,30,,,,,,50,,,,,,,,,,"Slow Aura: 30% MS slow, 30% AS slow (A059); +50% AS (A0LJ); +30 AGI (A04F)","Повышение AGI на 30 ед. и AS на 50% , ""Аура дождя"" - замедление всех противников в радиусе 1000 на 30% и поглощение 22% любого входящего урона.","Increases AGI by 30 and AS by 50%. ""Rain Aura"" - slows all enemies in radius 1000 by 30% and absorbs 22% of all incoming damage.","Rain Ring, Rank A (I010) + Upgrade Item (I00E)",True Vongola Rain Ring (I012)
I012,Hight-level Vongola Rings and Done items (n00C),Настоящее Кольцо Дождя Вонголы,True Vongola Rain Ring,Vongola Ring,Rain,Full,4750,,50,,,,,,60,,,,,,,,26,50,"Flame Strike (A05C); Slow Aura: 35% MS slow, 35% AS slow (A05A); +60% AS (A122); +50 AGI (A200)","Повышение AGI на 50 ед. и AS на 60% , ""Аура дождя"" - замедление всех противников в радиусе 1000 на 35% и поглощение 25% любого входящего урона. | Active: ""Проливной дождь"" - Вызывает тучу над определенной областью на 13 сек., которое замедляет всех врагов под ним на 100%. | Перезарядка: 26 сек.","Increases AGI by 50 and AS by 60%. ""Rain Aura"" - slows all enemies in radius 1000 by 35% and absorbs 25% of all incoming damage. | Active: ""Torrential Rain"" - summons a cloud over an area for 13 sec, slowing all enemies under it by 100%. | Cooldown: 26 sec.",Vongola Rain Ring (I011) + Upgrade Item (I00E),
I013,Half Vongola Rings (n003),"Кольцо Грозы, Ранг D","Lightning Ring, Rank D",Vongola Ring,Lightning,D,1000,,,5,,,2,,,300,,,,,,,,,+300 Max HP (A0S8); +2 DEF (A05F); +5 INT (A05E),"Повышение INT на 5 ед., DEF на 2 ед. и HP на 300 ед.","Increases INT by 5, DEF by 2 and HP by 300.",,"Lightning Ring, Rank C (I014)"
I014,,"Кольцо Грозы, Ранг C","Lightning Ring, Rank C",Vongola Ring,Lightning,C,1750,,,10,,,4,,,500,,,,,,,,,+500 Max HP (A0S9); +4 DEF (A25G); +10 INT (A042),"Повышение INT на 10 ед., DEF на 4 ед. и HP на 500 ед.","Increases INT by 10, DEF by 4 and HP by 500.","Lightning Ring, Rank D (I013) + Upgrade Item (I00E)","Lightning Ring, Rank B (I015)"
I015,,"Кольцо Грозы, Ранг B","Lightning Ring, Rank B",Vongola Ring,Lightning,B,2500,,,15,,,6,,,700,,,,,,,,,+700 Max HP (A0SA); +6 DEF (A25H); +15 INT (A043),"Повышение INT на 15 ед., DEF на 6 ед. и HP на 700 ед.","Increases INT by 15, DEF by 6 and HP by 700.","Lightning Ring, Rank C (I014) + Upgrade Item (I00E)","Lightning Ring, Rank A (I016)"
